CUSTOMER_ID,SUBSCRIPTION_ID,PLAN_ID,START_DATE,END_DATE,MONTHLY_AMOUNT
5a5fb065a009845d76039464312c2b975b91b93c989b0fe8e6ebe861973d5ac7,47e971fe9b6970ebf7c35cae4c5444c6fc8928ea744ec8a43031001995c25b8f,app_pro_12,21/04/2020,01/01/2050,126
e2cc335334e07321a07679eadc613e176548d3de73d5a1def56682952bf698a2,7ab78cb6c03b26648e648684db1dc3973ab86807c2db4bb0cc6cee7a1e069a19,app_enterprise,09/05/2020,01/01/2050,95
2ec077da17c6fc8cddb7fd31ed3f783781d0bc1e9d7e7af1b6bdfce2f13b7658,4c7634e09586b1b000fd49f62d32e8658f40cdeeff9206cf5e33e64395bd30b8,app_pro_24,15/06/2020,01/01/2050,114
fdb38e49fbeb83163bac24763eb680d5fceaf22f5f2cd7d1a074af289e075ba5,8a338192d76440e111c0910402cf8172ecd1fb9b57c3d236781873ba11a4454a,api_advanced_24,16/07/2020,01/01/2050,142
574298763a00de0701d65c82862258e251f81412232e4a90ddce86f70f3dce1b,be6182c90ab641e1a393655f27fc828574917f2ac5303bf4bc90fee00aaf3528,app_enterprise,31/03/2020,31/05/2020,95
aaeaf8a96dc80e95529fbf9ea1b18c133937db7ebe36a3da4eef296557e2f1b3,d917393b41cf78dea5c7d9bcf9f1e8f7d79638065527c0cdf0196cf8133a36d5,app_enterprise_24,22/07/2020,01/01/2050,70
a45ea7810b2e374d2b28c1f6c9513f44a830b57a7b83004c6edf3d6f099e0eac,a93b748a39701d4b83fd963063f751490890b3aa183519d90be833e0eadc3807,app_enterprise,13/11/2019,13/09/2020,95
8b018f1e60ae4f7d52c77fb231b705bb36132f644aeeafa53defe8bb342f0bf1,636f051e8ff9ea3c93e9731b54d36a111e2deccc50e2aa40cf09eb9cd028e875,app_enterprise_12,03/07/2020,10/07/2020,158
905d52d86815b8db02765609b17f5f6bb6bdf1660ec205e95a4d99c051c47f3b,2e9c49ae8d7ae7efc4ba3b1e6e1ec9ae6a1bd9a58fb252d53c3a5e4acd69898d,app_pro,02/07/2020,01/01/2050,302
dbbdbf4df3c35f78ec4e3f30280718eca1d2e3ee310a5fd94054d97b01bcaf3a,fcb865fb8764e5f77a1c42b202a5446856f4e874143debaa4251dd79520de3a9,app_pro_12,23/12/2019,22/07/2020,754
6824c95f3240630d780096aa4ef7ccaa94abcaff8fb313eb4e692c55bed48926,a001331450fc3419fc7e13cc12f42611f19cc4b3941e9080b6c64c5567bbb654,api_trial,27/08/2020,27/08/2020,0
4c5947b568f5010e955890d5c1fd566bb4aa1d48155baaad1346e087c45badbd,6c4e35fe66c4450ed67beb10305d9d6eb911513f27c6e7a4e2a3366c2f1d0875,api_extended_12,19/06/2020,01/01/2050,315
330709c5dc115c14206f7edf858dd8bbac7b08a44cc5304d47c91fa7c788d76a,6f2cdac8e8ff647eb708df7d91a6336c2bbb523db370ea72997fdefb43d75f9d,app_pro_12,12/11/2019,30/04/2020,126
12c699a9770789a367f8fb1808f4e6b6933ca9cd648f682067ebed2c8f5f3cd4,000681b95494e7912fd4e559539e505084a5d59841fb9ffedd022660152d71ae,app_enterprise,23/07/2020,01/01/2050,95
a8fd498c5e823d571c3e6445552380c1cf27057ae3440070c0496bc0c93f3515,327adf5de3750fa809ee06dcce6b2e5be29112d376193379cdb3627fcddb4f84,app_pro_12,06/07/2020,01/01/2050,252
5aa9d3c35796053f99c0629dc7809cf1b9a2ae48616691ea0f97b19eca887f55,56b4cec5640e447f44b7a000b9cda55da42ae14a413dd8bda36e10f2fbb89452,app_enterprise_12,11/07/2018,01/01/2050,79
616ddd164e7deb436db8cbe66679ccf141a8ffe1840596e04ab829d4e2587562,1fe7b6007440de5de039d64062c15b935688a572b3acc3eca1568244f1413e2c,app_notary,25/03/2020,01/01/2050,264
2abba1c2910a448a5d07058ab2e9357fb1820364c5e359ee9246b3b4979699a3,d465884a62ca0816a1392a681b68d4006f41051625032e1756da1597e646ecdd,app_enterprise_12,16/07/2018,01/01/2050,79
bfcf3568973d0636617e811e99eec75ca1ee114bd4c158de5f069b0028b6b1f8,468108da4e31e904d5ef3a653f1fd58cb4bfa12127de021c8d940073af00d139,app_enterprise_12,17/07/2020,01/01/2050,158
